num,city,id
0,武汉,420100
1,孝感,420900
2,黄冈,421100
3,荆州,421000
4,襄阳,420600
5,随州,421300
6,黄石,420200
7,宜昌,420500
8,荆门,420800
9,鄂州,420700
10,咸宁,421200
11,十堰,420300
12,仙桃,429004
13,天门,429006
14,恩施,422800
15,深圳,440300
16,广州,440100
17,珠海,440400
18,佛山,440600
19,温州,330300
20,杭州,330100
21,宁波,330200
22,台州,331000
23,金华,330700
24,信阳,411500
25,南阳,411300
26,郑州,410100
27,驻马店,411700
28,商丘,411400
29,周口,411600
30,平顶山,410400
31,长沙,430100
32,岳阳,430600
33,邵阳,430500
34,常德,430700
35,娄底,431300
36,株洲,430200
37,合肥,340100
38,阜阳,341200
39,蚌埠,340300
40,安庆,340800
41,六安,341500
42,南昌,360100
43,九江,360400
44,新余,360500
45,上饶,361100
46,宜春,360900
47,赣州,360700
48,抚州,361000
49,苏州,320500
50,南京,320100
51,徐州,320300
52,重庆,500000
53,青岛,370200
54,济南,370100
55,成都,510100
56,北京,110000
57,哈尔滨,230100
58,上海,310000
59,福州,350100
60,莆田,350300
61,厦门,350200
62,沧州,130900
63,南宁,450100
64,西安,610100
65,昆明,530100
66,三亚,460100
67,晋中,140700
68,沈阳,210100
69,贵阳,520100
70,天津,120000
71,兰州,620100
72,长春,220100
73,银川,640100
74,乌鲁木齐,650100
